investment_id,fund_name,superfund_type,fund_assets,investment_id,investment_name,asset_class,lifecycle_in,public_offer,return_1yr,return_3yr,return_5yr,investment_size,targetreturn,risk,fee,invfee,admin_fee
122,AMP Superannuation Savings Trust,Retail,56.744778,2091,CCA MySuper Future Directions Moderately Cons,Conservative Balanced,1,1,5.758651,6.79352,6.354628,0.07377,4,2.55,400,0.0083,0.0003
140,Colonial First State FirstChoice,Retail,76.792733,604,CFS FC MySuper - Lifestage 1945-49,Conservative Balanced,1,1,5.746641,5.738147,5.492919,0.05895,1.6,3.6,570,0.0048,0.0071
140,Colonial First State FirstChoice,Retail,76.792733,605,CFS FC MySuper - Lifestage 1950-54,Conservative Balanced,1,1,5.707718,5.728728,5.441572,0.21454,1.6,3.6,570,0.0048,0.0071
140,Colonial First State FirstChoice,Retail,76.792733,606,CFS FC MySuper - Lifestage 1955-59,Conservative Balanced,1,1,5.737071,5.973773,5.666411,0.5952,1.6,3.6,570,0.0049,0.0071
140,Colonial First State FirstChoice,Retail,76.792733,607,CFS FC MySuper - Lifestage 1960-64,Balanced,1,1,6.698518,8.278901,7.085307,1.11165,2.3,3.9,570,0.005,0.0071
140,Colonial First State FirstChoice,Retail,76.792733,608,CFS FC MySuper - Lifestage 1965-69,Growth,1,1,7.893195,10.297641,8.274596,1.37872,3.3,5.3,555,0.0049,0.0071
140,Colonial First State FirstChoice,Retail,76.792733,609,CFS FC MySuper - Lifestage 1970-74,Growth,1,1,8.278462,10.507007,8.360814,1.68283,3.6,5.4,545,0.0049,0.0071
140,Colonial First State FirstChoice,Retail,76.792733,610,CFS FC MySuper - Lifestage 1975-79,Growth,1,1,8.283623,10.518201,8.301741,1.61382,3.6,5.5,545,0.0048,0.0071
140,Colonial First State FirstChoice,Retail,76.792733,611,CFS FC MySuper - Lifestage 1980-84,Growth,1,1,8.266476,10.512499,8.294166,1.5203,3.6,5.5,540,0.0048,0.0071
140,Colonial First State FirstChoice,Retail,76.792733,612,CFS FC MySuper - Lifestage 1985-89,Growth,1,1,8.237713,10.513459,8.297071,1.04408,3.6,5.5,540,0.0047,0.0071
140,Colonial First State FirstChoice,Retail,76.792733,613,CFS FC MySuper - Lifestage 1990-94,Growth,1,1,8.151225,10.484459,8.279635,0.48036,3.6,5.5,530,0.0046,0.0071
140,Colonial First State FirstChoice,Retail,76.792733,614,CFS FC MySuper - Lifestage 1995-99,Growth,1,1,7.968845,10.438449,8.26681,0.10957,3.6,5.5,530,0.0045,0.0071
140,Colonial First State FirstChoice,Retail,76.792733,2191,CFS FC MySuper - Lifestage 2000-04,Growth,1,1,7.627171,10.215992,NULL,0.00375,3.6,5.5,515,0.0043,0.0071
137,Christian Super,Industry,1.444385,622,Christian Super - MyEthicalSuper,Balanced,0,1,7.889965,8.093078,7.023833,0.9706,2.62,5,711,0.0104,0.004
138,Club Plus Superannuation Scheme,Industry,2.768728,629,Club Plus Super - MySuper,Balanced,0,1,6.853541,9.944945,8.329649,2.52476,3,5.6,599,0.008,0.004
139,Club Super,Industry,0.573072,634,Club Super - Club MySuper,Balanced,0,0,5.365203,8.866655,7.613012,0.48077,3.43,4.1,786,0.0109,0.005
142,Commonwealth Bank Group Super,Corporate,11.387156,658,Commonwealth Bank Group Super MySuper - Balanced,Balanced,0,0,7.669381,7.817534,6.701873,5.9702,2.5,5,443,0.0056,0.0033
143,Commonwealth Essential Super,Retail,3.396708,1173,Commonwealth Essential Super MySuper - Lifestage 1945-49,Conservative Balanced,1,1,6.124524,5.541394,5.442837,0.02608,1.8,3.3,505.56,0.0048,0.0053
